gold	backtranslated
The misanthrope enjoys his solitude.	The misanthrope appreciates his solitude
I'll try to find them for you.	I'll try to find them for you
A red dress looks good on her.	A red dress suits him well.
Tom keeps every letter his mother sends him.	Tom keeps every letter his mother sends him.
We were told by him to leave the room at once.	He told us to leave the room immediately.
He's his friend.	He's his friend.
She needs to be very careful when she crosses the street.	She has to be very careful when crossing the street.
"""Your name is very familiar to me, Mr. Holmes,"" said he, smiling."	"""Your name is very familiar to me, Mr. Holmes,"" he said, smiling"
I have had no news from him yet.	I haven't heard from him yet.
Tom lost his wallet.	Tom lost his wallet.
He dedicated his life to peace.	He dedicated his life to peace.
Didn't they teach you anything at Harvard?	Didn't they teach you anything at Harvard
I'd like to go skiing with her.	I would love to ski with her.
He couldn't get his ideas across to the students.	He couldn’t get his ideas to the students.
I gave him back the book.	I gave him the book back.
I look on him as my best friend.	I consider him my best friend.
I bought him a clock.	I bought him a watch.
Tom wishes he had gone to the theater last night.	Tom would have liked to go to the theater
He said that he would be eighteen on his next birthday.	He said he would be eighteen on the day of his
Tom admired Mary for her bravery.	Tom admired Mary for her bravery.
She advised him to use a bicycle.	She advised him to use a bicycle.
He sat with his legs crossed.	He sat cross-legged.
He didn't like being separated from his family.	He didn’t like being separated from his family.
Would you say they match?	Would you say they correspond?
He idles away his time.	He gets rid of his time.
Mr Smith always begins his lectures with a joke.	Mr. Smith always starts his classes with a joke.
I spoke with her for one hour.	I talked to him for an hour.
When they spoke English to me, it was because they wanted to sell me something. When they spoke Esperanto to me, it was because they wanted to be my friends. Heard from American Esperanto speakers returning from trips abroad.	When they spoke English to me, it was because they wanted to sell me something. When they spoke Esperanto to me, it was because they wanted to be my friends.
The first victim was one of my best friends and his loss caused me a great deal of grief; the second victim was merely a German.	The first victim was one of my best friends and her loss caused me a lot of grief; the second victim was just a friend of mine.
She hasn't cleaned her room yet.	She hasn't cleaned her room yet.
I asked him to leave at once.	I asked him to leave right away.
Though he is rich, he is not happy.	Although he is rich, he is not happy.
A man approached Yoko, concealing the sound of his footsteps.	A man approached Yoko, hiding the sound of his footsteps.
You had better take her advice.	You better follow his advice.
"""He's a tiger when he's angry"" is an example of metaphor."	"""He's a tiger when he's angry"" is an example of a metaphor"
Why was he telling her this?	Why did he tell her that?
Father goes to his office in Shinjuku every other day.	The father goes to his office in Shinjuku every other day.
I hugged her.	I hugged her in my arms
I don't drag them.	I'm not dragging them
He admired him.	He admired her.
I asked who he was.	I asked who it was.
Do you believe him?	You believe him?
No one in his class was able to solve the problem.	No one in his class was able to solve the problem.
No one knows her name.	No one knows his name.
He gave no explanation why he had been absent.	He did not explain why he was absent.
Don't let him know the truth.	Don't tell him the truth
Don't fall into her trap.	Don't fall into his trap.
I couldn't meet him at the station because my car ran out of gas.	I couldn't meet him at the station because my car ran out of gas.
Everybody falls in love at least once in their lives.	Everyone falls in love at least once in their life.
I wrote down his phone number on a scrap of paper.	I wrote down his phone number on a piece of paper.
He let her go.	He let her go.
He confided in me things he would tell no one else.	He told me things he wouldn’t tell anyone else.
I asked her but she didn't respond.	I asked her, but she didn't answer.
Algerian Arabs veil their sisters and their wives but spend their time watching pornographic films.	Algerian Arabs veil their sisters and wives but spend their time watching
On the radio, they said that it was going to be cold.	On the radio, they said it was going to be cold.
He was embarrassed when I insisted on reading the criticism of his new book.	He was embarrassed when I insisted on reading the reviews of his new book.
Everything is done for her.	Everything is done for her.
I am concerned for her safety.	I'm worried about his safety
Tell him, asshole!	Tell him, asshole!
That's not her only problem.	That's not his only problem.
She gets hives when she eats eggs.	She takes hives when she eats eggs
Mary and her sister are always wearing the same dresses.	Mary and her sister always wear the same dresses.
We could not overtake him.	We couldn’t double it.
She bought a shirt for him.	She bought him a shirt.
He comes every day to visit his sick friend.	He comes to visit his sick friend every day.
With all his boasting, he is a coward.	With all his bragging, he's a coward.
The cat drank his milk.	The cat drank its milk.
