gold	backtranslated
Tom locked his keys in his car.	Tom locked the keys to his car.
She gave the dog to her friends.	He gave the dog to his
I thought it strange that he should be up so late.	I thought it was strange that he woke up so
Tom said he'd like to have another cup of coffee.	Tom said he wanted another cup of coffee
I made her a doll.	I made him a doll
Let go of him!	Let go of him
"""Please don't tell him."" ""I won't say anything."""	"""Don't tell him."" ""I won"
Only about 15 per cent of people with autism are in the workforce, mainly because people are so judgemental about them.	Only about 15% of autistic people are in the workforce, mainly because people are so judgmental of them.
He made a model airplane for his son.	He made a model airplane for his son
She made up her mind to try again.	He decided to try again
A leopard can't change his spots.	A leopard cannot change its spots.
Did he go to Hangzhou with his dad?	Did he and his father go to Hangzhou?
He was jealous of his wife.	He was jealous of his wife
He borrowed some money from his father as a last resort.	He borrowed money from his father as a last resort
Tom isn't afraid to get his hands dirty.	Tom is not afraid to get his hands dirty
Tom is in a coma and the doctors are not sure if he's going to live.	Tom is in a coma, and the doctors aren't sure if he'
Tom took his iPhone out of his coat pocket.	Tom took his iPhone out of his jacket pocket
The man didn't feel like walking all the way; so he took the bus.	He didn't want to walk all the way, so he
Tom ate his fill.	Tom ate his toppings
She warned him not to go out at night alone.	He warned her not to go out alone at
Tom asked Mary if she'd help him.	Tom asked Mary if this would help him.
I'm amazed at his rapid progress in English.	I am amazed at his rapid progress in English.
He was able to memorize that poem when he was five years old.	He knew how to memorize a poem when he was five
I told her to sit down and drink a glass of water.	I told him to sit down and drink a glass
I flipped him the bird.	I turned a bird over to him.
Both of them survived.	Both survived.
Tom was dismissed from his job.	Tom was fired from his job
Did he notice something suspicious?	Did he notice anything suspicious?
Tom wasn't wearing his life jacket.	Tom wasn't wearing a life jacket
One out of 455 women doesn't realize she's pregnant until the twentieth week of pregnancy.	One in 455 women do not realize that they are pregnant until their 20th week
In late November, they attacked Finland.	In late November, they attacked Finland.
Not everyone thought she was a great actress.	Not everyone thought he was a great actor.
The police searched their house and seized 2 kilograms of heroin.	Police searched their house and seized two kilos of heroin.
I decided to tell her that I love him.	I decided to tell him that I love
I owe her one.	I owe him one.
My uncle went to Mexico in 1983, and he never came back.	My uncle left for Mexico in 1983, and he never came back.
The chair gave way as Tom sat on it, and he crashed to the floor injuring his back.	The chair receded as Tom sat on it, and he plunged to the floor, hurting his back.
He lost his all.	He lost everything.
What a cute baby! May I hold her?	What a cute baby!
We are not sure, but she is right.	We're not sure, but he'
He likes his life.	He likes his life
We can't do this without them.	We can't do this
Tom shot him.	Tom shot him.
Tom is tidying his room.	Tom is cleaning his room.
Mothers should love all their children equally.	Mothers should love all their children equally.
Fadil forced Layla to make the most difficult decision she had ever made in the name of love.	Fadil forced Layla to make the hardest decision she had ever made in the name of love
Tom isn't as good at French as he thinks he is.	Tom is not as good in French as he thinks he is.
Fairy tales usually start with “once upon a time...” and end with “...and they lived happily ever after”.	"Fairy tales usually begin ""once upon a time..."" and end ""...and they lived happily ever after"
Tom spent all day alone in his room.	Tom spent the whole day alone in his room
I met her by chance on the train the day before yesterday.	I met him by accident on the train the
Tom oiled his bicycle chain.	Tom oiled his bicycle chain.
I'll see him if he doesn't come too late.	I'll see him if he doesn't come
Tom was never afraid even to talk about his own shortcomings.	Tom was never afraid to even talk about his own shortcomings.
We all laughed at his pink tuxedo.	We all laughed at her pink tuxedo.
Get him out of here!	Get him out of here
