gold	backtranslated
He was an example of a famous athlete, in his days.	He was an example of a famous athlete in his day
Tom said that he's satisfied.	Tom said he was happy
Tom and Mary speak only French with their children.	Tom and Mary only speak French with their
I saw him again.	I saw him again
I don't envy him.	I don't envy
Let her sleep.	Let her sleep.
Bad manners shade imperceptibly into crime: both have their roots in an absence of concern for others.	Bad manners are invisible to crime: both have their roots in the absence of concern
Tom and Mary sang the song they had just written.	Tom and Mary sang the song they wrote
Tom looks just like his dad.	Tom looks just like his father.
Tom hasn't finished all his homework yet.	Tom hasn't finished all his homework yet.
Tom emptied his glass.	Tom emptied his glass.
Tom always wears his seatbelt.	Tom always wears a seat belt.
Tom said he had to be with his family on Christmas.	Tom said he should be with his family at Christmas
Tom is looking for his pencil.	Tom's looking for his pencil
The disabled considered her their best advocate.	The disabled considered her to be the best attorney
I've waited for her all my life.	I've been waiting
I'll give her a hand.	I'll help
Tom can take a couple of weeks off if he needs to.	Tom can take a few weeks off if he needs
I want to be more like them.	I want to be more like
Let her go!	Let her go!
The traffic accident is fresh in his memory.	The car accident is fresh in his memory
Tom thought where he put his gold coins was the perfect hiding place. However, he was wrong.	Tom thought that where he put his gold coins was the perfect hiding place, but he was wrong
